npsn,nama_sekolah,alamat,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0105271E7,SDN Kalideres 09 Pg.,"Jl. Daan Mogot Km. 15,6",Kalideres,235.0,7.0,,(021) 54374803,Padat/Kumuh,B
2.0105272E7,SDN Kalideres 10 Pg.,"Jl. Daan Mogot Km. 15,6",Kalideres,304.0,14.0,"Yeny Suryani,S.Pd",(021) 5418687,Padat/Kumuh,A
2.0105273E7,SDN Kalideres 12 Pg.,Jl. Peta Timur,Kalideres,394.0,13.0,MURSIYEM,(021) 54395391,Baik,A
2.0105274E7,SDN Kalideres 13 Pt.,Jl. Peta Barat RT004/RW07,Kalideres,364.0,14.0,DEWI UMRITI,(021) 54376435,Banjir,B
2.0105275E7,SDN Kalideres 14 Pt.,Jl. Peta Barat,Kalideres,345.0,13.0,MINARIA SARAGI,(021) 54380803,Banjir,A
2.0108967E7,SDN Kalisari 01 Pg.,Jl. Raya Kalisari No. 3,Pasar Rebo,354.0,15.0,"H. M. Samsudin,S.Ag.",(021) 8727164,Baik,A
2.010871E7,SDN Kalisari 02 Pg.,Jl. Raya Cijantung IV,Pasar Rebo,384.0,17.0,"MUNIF ISTIAWAN, S.Pd",(021) 8704461,Baik,A
2.0108826E7,SDN Kalisari 03 Pg.,As. Yon. Kav. I Tank Cijantung IV,Pasar Rebo,392.0,12.0,"TITIN SUKAYATI, S.Pd",(021) 8708588,Baik,A
2.0108993E7,SDN Kalisari 04 Pg.,Jl. Raya Kalisari,Pasar Rebo,289.0,12.0,"Hj. DJUMIATI, S.Pd.",(021) 8728239,Banjir,A
2.0108711E7,SDN Kalisari 05 Pg.,Jl. Raya Kalisari,Pasar Rebo,317.0,13.0,"SITI KHOTIJAH, M.Pd",(021) 8727579,Baik,A
2.0109053E7,SDN Kalisari 06 Pt.,Asrama Yon Kav I Cijantung IV,Pasar Rebo,413.0,15.0,"TITIN SUKAYATI, S.Pd",(021) 87721453,Baik,A
2.0109058E7,SDN Kalisari 07 Pg.,Jl. Raya Kalisari,Pasar Rebo,269.0,14.0,Lince Sihaloho,(021) 87700014,Padat/Kumuh,A
2.0108712E7,SDN Kalisari 08 Pt.,Jl. Raya Kalisari,Pasar Rebo,280.0,13.0,YETI SUPRIYATI,(021) 87704020,Baik,A
2.0108827E7,SDN Kalisari 09 Pt.,Jl. Raya Kalisari,Pasar Rebo,307.0,13.0,"SITI KHOTIJAH, M.Pd",(021) 87706251,Baik,B
2.0108713E7,SDN Kalisari 10 Pt.,Jl. Raya Kalisari RT006/RW02,Pasar Rebo,255.0,11.0,Lince Sihaloho S.Pd,(021) 29378415,Padat/Kumuh,A
2.0105276E7,SDN Kamal 01 Pg.,Jl. Kebon Dua Ratus RT03/RW06,Kalideres,432.0,13.0,"SUMADI, S.Pd",(021) 55954691,Padat/Kumuh,A
2.0105277E7,SDN Kamal 02 Pg.,Jl. Kebon Dua Ratus RT05/RW06,Kalideres,434.0,16.0,"ANAH NUNGHASANAH, S. Pd",(021) 55954501,Baik,A
2.0105278E7,SDN Kamal 03 Pg.,Jl. Kampung Belakang,Kalideres,368.0,11.0,"AMAT, S.Pd",(021) 55958516,Baik,A
2.0105279E7,SDN Kamal 04 Pg.,Jl. Kampung Belakang,Kalideres,364.0,14.0,"Amat, S.Pd",(021) 5552896,Baik,A
2.010528E7,SDN Kamal 05 Pg.,Jl. Bakti Pramuka No. 54,Kalideres,437.0,14.0,"SUGIMA, S.Pd",(021) 55961054,Baik,A
2.0105281E7,SDN Kamal 06 Pg.,Jl. Bakti Pramuka Rawabebek,Kalideres,475.0,15.0,"DONATUS SLAMET RIYANTA, S.Pd,",(021) 98182132,Banjir,A
2.0105282E7,SDN Kamal 07 Pg.,Jl. Prepedan,Kalideres,366.0,12.0,"ARISNO, S.Pd, MM",(021) 5556616,Padat/Kumuh,A
2.0105283E7,SDN Kamal 08 Pt.,Jl. Kebon Dua Ratus RT03/RW06,Kalideres,418.0,13.0,"RAHAYU, S.Pd",(021) 55954691,Baik,B
2.0105284E7,SDN Kamal 09 Pg.,Jl. Kp. Belakang,Kalideres,433.0,18.0,"H.M.ROSYID,S.Ag,MM",(021) 68742915,Baik,A
2.0105285E7,SDN Kamal 10 Pt.,Jl. Prepedan RT004/RW07,Kalideres,285.0,11.0,"RENO HERIYONO,S.Pd",(021) 55960675,Baik,B
2.0104849E7,SDN Kamal Muara 01 Pg.,Jl. Raya Kamal Pantai No. 5,Penjaringan,415.0,14.0,"Supardjo, S.Pd",(021) 55958724,Baik,A
